nama_produk;periode;jumlah_penjualan
Rubia Tir 7400 15W - 40;2024-03-01;4332
Rubia Tir 7400 15W - 40;2024-04-01;20831
Rubia Tir 7400 15W - 40;2024-05-01;9232
Rubia Tir 7400 15W - 40;2024-06-01;9453
Rubia Tir 7400 15W - 40;2024-07-01;20087
Rubia Tir 7400 15W - 40;2024-08-01;41480
Rubia Tir 7400 15W - 40;2024-09-01;16338
Rubia Tir 7400 15W - 40;2024-10-01;26557
Rubia Tir 7400 15W - 40;2024-11-01;22248
Rubia Tir 7400 15W - 40;2024-12-01;9744
Rubia Tir 7400 15W - 40;2025-01-01;24227
Rubia Tir 7400 15W - 40;2025-02-01;19062
Rubia Tir 7400 15W - 40;2025-03-01;12096
Rubia Tir 7400 15W - 40;2025-04-01;16662
Rubia Tir 7400 15W - 40;2025-05-01;17159
Rubia Tir 7400 15W - 40;2025-06-01;21759
Rubia Tir 7400 15W - 40;2025-07-01;20168
Rubia Tir 7400 15W - 40;2025-08-01;12982
Rubia Tir 7400 15W - 40;2025-09-01;18938
Rubia Tir 7400 15W - 40;2025-10-01;17102
Rubia Tir 7400 15W - 40;2025-11-01;18321
Rubia Tir 7400 15W - 40;2025-12-01;13321
Rubia Tir 7400 15W - 40;2026-01-01;14320
Rubia Tir 7400 15W - 40;2026-02-01;19399
