periode,aktual,prediksi,error
2024-06-01,9453.0,16607.584,-7154.583984375
2024-07-01,20087.0,17890.537,2196.462890625
2024-08-01,41480.0,16746.604,24733.396484375
2024-09-01,16338.0,19050.436,-2712.435546875
2024-10-01,26557.0,21492.303,5064.697265625
2024-11-01,22248.0,22594.236,-346.236328125
2024-12-01,9744.0,19736.666,-9992.666015625
2025-01-01,24227.0,20131.254,4095.74609375
2025-02-01,19062.0,18967.66,94.33984375
2025-03-01,12096.0,18329.62,-6233.619140625
2025-04-01,16662.0,19582.521,-2920.521484375
2025-05-01,17159.0,18327.127,-1168.126953125
2025-06-01,21759.0,17786.635,3972.365234375
2025-07-01,20168.0,18779.139,1388.861328125
2025-08-01,12982.0,19249.125,-6267.125
2025-09-01,18938.0,19379.145,-441.14453125
2025-10-01,17102.0,18711.484,-1609.484375
2025-11-01,18321.0,18157.588,163.412109375
2025-12-01,13321.0,18927.715,-5606.71484375
2026-01-01,14320.0,18506.244,-4186.244140625
2026-02-01,19399.0,18216.734,1182.265625
